FIPS,income
06037482702,82917
06037500201,114831
06037500202,133125
06037500300,102875
06037500500,53500
06037500900,55446
06037501400,43929
06037501501,102292
06037501802,68783
06037501900,96591
06037502401,71159
06037401202,95046
06037401311,80811
06037401703,70642
06037122410,36222
06037123103,48902
06037120020,37045
06037119900,78000
06037120300,70208
06037121210,67375
06037125600,82401
06037123410,50481
06037124700,89674
06037125320,39977
06037128210,31168
06037128220,41570
06037123601,55241
06037123510,45338
06037123520,45521
06037123700,65278
06037124102,50064
06037124201,64364
06037125200,75260
06037125310,48958
06037127210,55997
06037131020,66875
06037482301,41266
06037482401,49295
06037482600,70417
06037480011,63446
06037480600,92837
06037481712,49837
06037481713,63563
06037482303,54177
06037482304,33940
06037500800,66116
06037503601,93750
06037503602,110278
06037503702,79886
06037221401,24904
06037221602,36008
06037221402,37976
06037221601,45288
06037222001,71000
06037234501,54622
06037234502,33500
06037222002,48641
06037226001,34808
06037226002,37643
06037234901,22693
06037234902,23981
06037236203,30144
06037236204,23677
06037237101,33569
06037237102,37849
06037237201,44911
06037237202,38438
06037237401,41703
06037237402,45875
06037239201,36034
06037239202,42609
06037239501,44177
06037239502,41250
06037239601,43102
06037239602,38295
06037239701,36232
06037239801,46938
06037240401,42662
06037239702,31189
06037239802,42171
06037240402,42422
06037504002,105833
06037504101,64623
06037530005,88750
06037530204,59940
06037533402,32845
06037531603,45972
06037502005,62279
06037502801,85160
06037502802,47350
06037503103,77795
06037503104,62974
06037503105,73611
06037503106,68255
06037531503,44736
06037531504,48167
06037533001,38232
06037533002,38065
06037533805,52143
06037533806,41510
06037432300,54155
06037432401,52500
06037433200,50570
06037460100,131477
06037461300,82847
06037575802,39432
06037183610,57727
06037574602,94688
06037575402,46199
06037576602,62409
06037577603,106337
06037601002,53008
06037601401,50094
06037602004,51875
06037602301,100333
06037602403,55833
06037603001,52656
06037503401,100498
06037532400,42188
06037402502,45432
06037404600,72500
06037301204,58497
06037311600,71528
06037542502,38051
06037542601,37589
06037542602,60051
06037543322,114388
06037543503,74375
06037550400,78393
06037554101,47618
06037554512,120176
06037554513,97604
06037554801,51896
06037554802,73594
06037621104,139265
06037621204,109671
06037621324,92710
06037621326,102057
06037650003,63906
06037650004,75994
06037650401,137024
06037651304,86690
06037651401,90938
06037650604,58413
06037650605,80625
06037651402,101341
06037670324,214681
06037670326,158125
06037670328,193262
06037670416,97788
06037670602,155688
06037700101,57260
06037700102,43202
06037700501,76637
06037700502,73500
06037700801,83333
06037700802,85078
06037480201,113393
06037480901,57802
06037481300,66500
06037481603,56159
06037481714,42604
06037540700,44623
06037404702,58929
06037403721,64628
06037403901,83750
06037404100,64643
06037404802,61921
06037405001,80042
06037406601,103484
06037406602,91591
06037407301,84458
06037407702,75664
06037123206,32266
06037123301,57031
06037534302,49833
06037920029,75972
06037920040,99620
06037920043,146310
06037920104,127625
06037534802,61629
06037534804,51475
06037128102,46699
06037128601,48173
06037128602,85284
06037128801,65449
06037128802,89735
06037131701,71595
06037131702,68083
06037132001,83039
06037132002,109891
06037132101,73550
06037132102,49838
06037600601,80708
06037276100,66520
06037300100,139458
06037302201,24851
06037190301,44986
06037197420,65438
06037205110,47219
06037208000,37330
06037209401,30926
06037400207,136500
06037400403,106875
06037400404,135038
06037400501,145417
06037401303,107938
06037401304,132026
06037402001,83409
06037402002,55946
06037402303,50625
06037402304,39427
06037402405,55000
06037402705,80000
06037402706,69875
06037402406,49679
06037402803,48090
06037402804,54063
06037402903,56667
06037402904,71637
06037404201,54896
06037404202,68537
06037404503,76394
06037404504,57206
06037405301,61654
06037405302,57159
06037405701,95036
06037405702,83558
06037406701,83906
06037406702,79990
06037700901,86143
06037701100,45536
06037195802,53889
06037191120,40071
06037191410,42538
06037195400,98461
06037197700,54759
06037199000,57625
06037199300,81172
06037199700,42614
06037201402,55352
06037203900,57054
06037603200,83899
06037609900,71071
06037620303,199408
06037552800,77917
06037553300,49950
06037553601,48333
06037403407,143889
06037122120,61625
06037123010,36518
06037128910,104392
06037134305,37606
06037134710,46050
06037135202,116321
06037137302,145286
06037139802,153523
06037141302,92769
06037143100,100948
06037143800,138151
06037402702,34095
06037701304,126713
06037701402,103590
06037701902,67422
06037702002,91859
06037702102,81727
06037920035,76992
06037800203,146543
06037800204,138306
06037800327,92740
06037800328,105625
06037800329,94250
06037800330,134250
06037572700,68500
06037573100,60616
06037573401,75040
06037574000,137909
06037574901,121429
06037575201,46050
06037575300,37969
06037575401,32452
06037575500,14271
06037206010,42063
06037535200,52011
06037535300,43000
06037535702,54157
06037535803,49813
06037535901,51968
06037541603,37027
06037541604,42188
06037542501,58934
06037543321,90022
06037543502,82132
06037550100,71875
06037550500,86674
06037551000,96514
06037552200,48077
06037264000,220417
06037265304,21228
06037265410,117885
06037269100,88656
06037269700,89450
06037270300,74323
06037271702,67446
06037273700,96719
06037275302,96917
06037293301,83768
06037294200,70272
06037294510,49979
06037301400,150489
06037301501,94375
06037301701,84688
06037302104,61005
06037480703,122188
06037480902,50127
06037480903,67039
06037481002,60275
06037481102,53024
06037201120,68667
06037201200,46976
06037201501,60088
06037201700,64769
06037203300,39750
